Date,Subway Residual,Buses Residual,LIRR Residual
2022-06-15,8353.502780354582,-6517.162023724522,5798.854424946418
2022-06-16,40918.58096565213,-573.1277305399999,5649.858518774796
2022-06-17,13413.516478668898,7642.906776448013,4212.704692373198
2022-06-18,-12498.207662656903,-8146.064677979564,-672.1611649078259
2022-06-19,31558.824266725685,28970.553849433316,114.86471749003977
2022-06-20,-97206.45814738842,-72956.10624201177,6321.753413443308
2022-06-21,-82574.40686321352,-47161.48440513853,-5683.104836007493
2022-06-22,-21343.466165412217,-18123.128912863554,-3340.3004588187614
2022-06-23,22921.381169660017,7616.3317783800885,2482.4124704329006
2022-06-24,53566.37397142919,-8214.652828020044,9477.474017274973
2022-06-25,-14812.707033623476,-4724.2526651469525,-2654.6530634429946
2022-06-26,73231.7249211804,-15383.559374485398,3523.3560642153607
2022-06-27,56558.72996574361,44037.50175567041,5076.755946111487
2022-06-28,-66248.77842519293,-46176.08994974173,3642.1179291577137
2022-06-29,-52008.36290819384,-18374.359815991484,4006.360475620546
2022-06-30,-38177.45492597204,5065.903384919977,5592.218257154949
2022-07-01,-108218.53730769362,-10887.082930570701,-11273.432574577542
2022-07-02,-107174.0735026896,-5738.12497867411,-3911.9592259686615
2022-07-03,103656.79591821413,65478.201652445365,14918.191280845174
2022-07-04,-403575.27270362666,-194582.6138499498,-24140.696117044077
2022-07-05,174546.30504610576,113407.87810204364,18373.417517771537
2022-07-06,-35226.59914084012,-4204.063975483645,-2221.437355453905
2022-07-07,-69745.39723687107,-15012.066050294787,-2382.3239052309946
2022-07-08,-59734.83351460844,-12632.296251861844,-2198.270563922124
2022-07-09,32749.342009960674,33136.17052800441,3926.151737856271
2022-07-10,-94636.9649699512,-25652.519773646723,-2704.865403709089
2022-07-11,110659.33440599497,70052.64305231697,8815.113253195945
2022-07-12,-113334.70985069498,-42565.76917690341,-5075.736462788511
2022-07-13,-62161.51333224727,-17151.70395373809,-1600.47424286991
2022-07-14,-27009.05680762464,1674.054326190846,-806.8670054650574
2022-07-15,-57104.148108917754,-24162.221147694392,-531.4811593328486
2022-07-16,-4748.3267587698065,-11859.611267567612,5271.036245392228
2022-07-17,-74447.71264604712,-3734.2176014480647,-3765.3646680066013
2022-07-18,-39160.60282811336,-2745.36307196063,1135.1319704195193
2022-07-19,-105662.48705343483,-23428.721762460424,-6933.046775777359
2022-07-20,-110981.63716327585,-16055.220850498881,-3699.5196776987286
2022-07-21,-87116.70584145514,-19718.738103254,-3282.8561947527633
2022-07-22,-128993.07455244754,-40943.38623078563,-1547.37928325549
2022-07-23,-135662.79110382497,-38130.00503695267,-4642.584081005683
2022-07-24,-162870.99593233457,-44357.27890088782,-6802.746946748637
2022-07-25,-69285.51653492125,-8254.24243694893,-368.187670259038
2022-07-26,-90074.10709595121,-32330.263952592853,-4102.658356205124
2022-07-27,-51448.680053547956,-16326.818742766045,-926.72835420302
2022-07-28,-71414.49126258912,-23821.603964705253,-6424.887549630046
2022-07-29,-23734.21845397912,2388.4363036793657,-1734.2759329546825
2022-07-30,-95029.66617479594,-16159.213194777025,-12263.461209020665
2022-07-31,-99452.707469251,-27846.590601239586,-9518.101133696415
2022-08-01,-82828.22000564728,-24208.2429588479,-9943.37960191851
2022-08-02,-114611.83279511426,-21507.12743067555,-5913.658754661243
2022-08-03,-106741.38771173218,-14155.465545055922,-4183.573492054769
2022-08-04,-115060.92656724853,-14463.778240947053,-281.66203627586947
2022-08-05,-152679.5134731126,-23725.530020452803,-4781.896448262996
2022-08-06,-122916.60589127941,-33569.544296145905,-2402.665349778079
2022-08-07,-111471.55653209658,-14693.340502748266,-1306.2127733560046
2022-08-08,-79643.64884623,27040.667502826313,2848.469790223986
2022-08-09,-117501.22631563107,-27552.536563337082,212.01814950886182
2022-08-10,-22512.353807984386,7282.239694108721,2453.8561575749773
2022-08-11,-91798.97281535994,-30994.851838047616,-4481.180658879515
2022-08-12,-51205.16133657703,1926.1544845532626,1656.5903543861932
2022-08-13,-30240.51687239809,-3789.267211915925,1609.494354969036
2022-08-14,-23087.79047339596,-7032.893865886144,2084.9654387609044
2022-08-15,-8798.395779217593,779.0884522779379,-411.05796657997416
2022-08-16,-62399.78892119927,-31519.684650507756,-5636.641691534838
2022-08-17,-58004.50800453313,-31384.912926069926,-3764.4963033365784
2022-08-18,-62784.11435344815,-34230.48154298216,2572.0630147012707
2022-08-19,-83199.25884258188,-18891.917912209872,-6509.681383522082
2022-08-20,-48574.49182584975,1233.5502052339725,-475.0223020806734
